1,0,0,0,0,-1
2025-11-20T13:29:28.324184-0500,10.20.10.151,10.20.10.72,0,0,ICMP,-1
2025-12-03T12:11:05.575790-0500,fe80:0000:0000:0000:09c6:167a:539a:6e4d,ff02:0000:0000:0000:0000:0000:0000:0002,0,0,IPv6-ICMP,-1
2025-12-03T12:15:33.628539-0500,fe80:0000:0000:0000:b3c4:4bd9:9385:6717,ff02:0000:0000:0000:0000:0000:0000:0001,0,0,IPv6-ICMP,-1
2025-12-17T13:02:24.090445-0500,fe80:0000:0000:0000:3ba8:f96c:e794:3f36,ff02:0000:0000:0000:0000:0000:0000:0016,0,0,IPv6-ICMP,-1
1772125649.299925,192.168.137.179,192.168.137.1,59497,53,udp,-1
1772125649.504291,192.168.137.179,192.168.137.1,3,3,icmp,-1
1772125649.504291,192.168.137.179,192.168.137.1,3,3,icmp,-1
1772125649.504291,192.168.137.179,192.168.137.1,3,3,icmp,-1
1772125649.504291,192.168.137.179,192.168.137.1,3,3,icmp,-1
1772125649.504291,192.168.137.179,192.168.137.1,3,3,icmp,-1
1772125649.299925,192.168.137.179,192.168.137.1,59497,53,udp,-1
1772125649.504291,192.168.137.179,192.168.137.1,3,3,icmp,-1
1772125649.504291,192.168.137.179,192.168.137.1,3,3,icmp,-1
1772125649.504291,192.168.137.179,192.168.137.1,3,3,icmp,-1
1772125649.504291,192.168.137.179,192.168.137.1,3,3,icmp,-1
